ID,SuveyID_DoNotUse,Proofed_MC,Year,County,WaterbodyName,SiteName,Affiliation,SurveyType,Missing data,Corrections,surveyArea_ha,Survey Length (KM),# Survey Hours,# Surveys,0_Territories_FullProtocol,PO Territories,PR Territories,CO Territories,Breed_evidence,NumNests,Field21,NumDetected,Zone,StartX_UTME,StartY_UTMN,Start_Lat,Start_Long,StopX,StopY,StopLat,StopLong,Contact Info,VegType,Survey File Name,Incomplete or Complete Record,Comments,Field35,Legend,Comments between Susan and Maya,Nest1_X,Nest1_Y,Field40,Field41,Field42,Field43
540,450,,2017,Pima,Edgar Canyon,Edgar Canyon,Pima County,Protocol,,,,,,1,0,,,,,,,1,12S,542908,3590543,32.4512153,-110.5434847,543506,3590454,,,ian.murray@pima.gov,1,,Complete,"*These were all done during Survey 2 as ""exploratory surveys."" Only one survey was done for each of these sites, and due to all their survey forms being on one PDF, the same files will be copied/located into different folders. Located in Pima County>'Expl",,,Susan deleted a duplicate record,,,,,,
541,451,,2017,Pima,Davidson Canyon,Davidson Canyon,Pima County,Protocol,,,,,,1,0,,,,,,,0,12S,533708,3542350,32.01676842,-110.643069,533354,3538630,,,ian.murray@pima.gov,1,,Complete,"*These were all done during Survey 2 as ""exploratory surveys."" Only one survey was done for each of these sites, and due to all their survey forms being on one PDF, the same files will be copied/located into different folders. Located in Pima County>'Expl",,,,,,,,,
542,452,,2017,Pima,McCleary Canyon,McCleary,Westland Resources,Protocol,,,,4.5,20.17,4,,1,1,,,,,6,12R,523746,3523943,31.85095673,-110.7490063,526940,3523448,,,jtress@westlandresources.com,1,,Complete,,,,,,,,,,
543,453,,2017,Pima,Rosemont Springs,Rosemont Springs,Westland Resources,Protocol,,,,0.9,5,4,0,,,,,,,0,12R,524882,3521400,31.82798966,-110.737064,524200,3521288,,,jtress@westlandresources.com,1,,Complete,No detections,,,,,,,,,
544,454,,2017,Pima,Wasp Canyon,Wasp,Westland Resources,Protocol,,,,3.6,17.28,4,0,,,,,,,1,12R,522893,3520352,31.81857632,-110.7581069,525310,3522131,,,jtress@westlandresources.com,1,,Complete,1 detection,,,,,,,,,
545,455,,2017,Pima,Barrel Canyon,Upper Barrel,Westland Resources,Protocol,,,,3.8,19.18,4,0,,,,,,,2,12R,525355,3522104,31.83433069,-110.7320474,523643,3518986,,,jtress@westlandresources.com,1,,Complete,2 detections (during on survey),,,,,,,,,
546,456,,2017,Pima,Barrel Canyon,Lower Barrel,Westland Resources,Protocol,,,,2.83,12.2,4,,1,1,,,,,6,12R,527407,3523411,31.84607484,-110.7103252,525410,3522142,,,jtress@westlandresources.com,1,,Complete,6 detections,,,,,,,,,
547,457,,2017,Pima,Madera Canyon,Florida Canyon Rd,"Tony Lavictoire, Amanda Moors",Incidental,,MC - coords,,,11,4,,1,,,,,,1,,,,31.764778,-110.846278,,,,,amoors@cableone.net,,,,DropBox Photos downloaded into folder,,,"Unless there is more info included, should not be PO with only 1 detection.",,,,,,
548,458,,2017,Pima,Empire Cienega_Cienega Creek,Empire Cienega_Cienega Creek,Bureau of Land Management,Banding Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marcia Radke submitted files of banding data for WIFLs, YBCUs, and other birds",,,Not in survey folder,,,,,,
549,459,,2017,Pima,Bingham Cienega,Bingham Cienega,Tucson Audubon Society,Protocol,Protocol territory data,,,,11,3,,,,,,,,18,12S,548134,3590190,32.44781712,-110.487903,548394,3592277,,,,,,Incomplete,18 detections (No territory info on website); territory data of this site available from Pima County,,,No territory data found ,,,,,,
550,460,"mc, corrected hours, calc distance, no territory info, 4 routes simultaneous, combined on single summary sheet.",2017,Pima,Cienega Creek,Cienega Creek,Tucson Audubon Society,Protocol,"Protocol territory data, contact info, veg characteristics, coordinates","corrected hours from 13 to 46, per math from each survey visit summary. Multiple survey routes per date, each covering a different section, No territory data provided.",,10.6,46,4,,NR,NR,NR,COP included in one bird's behavior code,,,36,12S (end) and 12R (start),540142,3539626,,,530599,3544414,,,,,,Incomplete,36 detections (no territory info on website),Chiricahuas Mountains,,No territory data or coordinates,,,,,,
551,461,,2017,Pima,Alder Canyon,Alder Canyon,Tucson Audubon Society,Protocol,"Contact info, vegetation characteristics",,,,3.5,3,,,,,,,,0,12S,525039,3591655,32.46179239,-110.7335682,525310,3591374,,,,,,Incomplete,No detections,Santa Catalinas,,,,,,,,
552,462,,2017,Pima,Buehman Canyon,Buehman Canyon,Tucson Audubon Society,Protocol,"Contact info, vegetation characteristics",,,,3.5,2,,,,,,,,0,12S,536932,3584693,32.39865691,-110.6072931,535594,3585537,,,,,,Incomplete,No detections,Santa Catalinas,,,,,,,,
553,463,,2017,Pima,Italian Trap Canyon,Italian Trap Canyon,Tucson Audubon Society,Protocol,Protocol territory data,,,,8,3,,1,,,,,,2,12S,539960,3571694,32.28128747,-110.575644,539930,3570648,,,,,,Incomplete,1 occupied territory (2 detections),Santa Catalinas,,No territory data ,,,,,,
554,464,,2017,Pima,Stratton Canyon,Stratton Canyon,Tucson Audubon Society,Protocol,"Protocol territory data, contact info, veg characteristics",,,,6.33,3,0,,,,,,,0,12S,529806,3596089,32.5016739,-110.6827044,528195,3596524,,,,,,Incomplete,No detections,Santa Catalinas,,,,,,,,
555,465,,2017,Pima,Box Canyon,Box Canyon,Tucson Audubon Society,Protocol,"Protocol territory data, contact info, veg characteristics",,,,14,4,,1,,,,,,2,12R,498192,3473367,31.39488865,-111.0190175,524185,3516813,,,,,,Incomplete,"2 detections (no territory data, detection was of a pair",Santa Ritas,,No territory data,,,,,,
556,466,,2017,Pima,Florida Canyon,Florida Canyon,Tucson Audubon Society,Protocol,"Protocol territory data, contact info, veg characteristics",,,,11,4,,1,1,,,,,5,12R,519236,3518168,31.79893978,-110.7967906,520411,3518039,,,,,,Incomplete,5 detections (no territory data),Santa Ritas,,No territory data ,,,,,,
557,467,,2017,Pinal,Queen Creek,Arnett Creek,Audubon Arizona,Protocol,Site form missing coordinates,,,2.5,0.2,1,,,,,,,,1,12S,488133,3680158,33.26035725,-111.1274096,486363,3681080,,,cwise@audubon.org,1,,Complete,No territories,,,,,,,,,
558,468,,2017,Pinal,Queen Creek,Upper Queen Creek,Audubon Arizona,Protocol,Permit #'s,,,1.3,3.68,3,0,,,,,,,0,12S,492002,3684684,33.30121722,-111.0859103,491495,3683820,,,sprager@audobon.org,1,,Complete,No territories,,,,,,,,,
559,469,,2017,Pinal,Queen Creek,Whitlow Dam,Audubon Arizona,Protocol,Almost entire portion of top boxes for habitat description,,,0.779,1.4,1,0,,,,,,,3,12S,474533,3684462,33.29894343,-111.2735455,474772,3684731,,,Dan Hite ,3,,Incomplete,No territories,,,,,,,,,
560,470,,2017,Pinal,San Pedro River,7B Ranch North,Audubon Arizona,Protocol,,correct affiliation from TNC to Audubon SW,,3.5,21.3,4,,2,3,,,,,19,12S,534394,3621288,32.7288551,-110.632938,534234,3620491,,,candresen@tnc.org,2,,Complete,vegetation data still uploaded to excel spreadsheet,,,,,,,,,
561,471,,2017,Pinal,San Pedro River,7B Ranch Middle,Audubon Arizona,Protocol + Incidental Form,,correct affiliation from TNC to Audubon SW,,3.5,21.9,4,,5,6,,,,,41,12S,534353,3620306,32.71999816,-110.6334118,534340,3620160,,,candresen@tnc.org,2,,Complete,vegetation data still uploaded to excel spreadsheet,,,,,,,,,
562,472,,2017,Pinal,San Pedro River,7B Ranch South,Audubon Arizona,Protocol,,correct affiliation from TNC to Audubon SW,,3.5,20,4,,2,3,,,,,20,12S,535716,3617515,32.6947783,-110.6189742,535408,3617521,,,candresen@tnc.org,2,,Complete,vegetation data still uploaded to excel spreadsheet,,,,,,,,,
563,473,,2017,Pinal,San Pedro River,3 Links Narrows,Audubon Arizona,Protocol,,correct affiliation from TNC to Audubon SW,,3.5,9,3,2,1,1,,,,,7,12S,566127,3557632,32.15319717,-110.2987517,566976,3556136,,,candresen@tnc.org,2,,Complete,vegetation data still uploaded to excel spreadsheet,,,,,,,,,
564,474,,2017,Pinal,Gila River,Winkelman to Kelvin Bridge,"EcoPlan Associates, Inc.",Protocol,Fixed,Territory data corrected by Eric Liknes and sent to Fernandon on 4/22,,32,82.75,4,,3,4,,,,,36,12S,521520,3649600,32.98457081,-110.7696725,503500,3663150,,,tashbeck@ecoplanaz.com,4,,Complete,survey areas split up among surveyors,,,,,,,,,
565,475,,2017,Pinal,San Pedro River,Adobe Preserve,"EcoPlan Associates, Inc.",Protocol,Fixed,Territory data corrected by Eric Liknes and sent to Fernandon on 4/22,,1.3,14,4,,,2,,,,,11,12S,526256,3634626,32.84939571,-110.7194104,525498,3635642,,,tashbeck@ecoplanaz.com,1,,Complete,,,,,,,,,,
566,476,,2017,Pinal,Gila River,Gila Southeast of Kearny Transect 1,Westland Resources,Protocol,,,,1.3,13.5,4,0,,,,,,,0,12S,510076,3655827,33.04090634,-110.8920884,510398,3655022,,,jtress@westlandresources.com; mabuschow@gmail.com,4,,Complete,"No detections, Survey #3 prevented by flooding",,,,,,,,,
567,477,,2017,Pinal,Gila River,Gila Southeast of Kearny Transect 2,Westland Resources,Protocol,,Number cuckoos detected,,2.5,12.6,4,0,,,,,,,2,12S,510354,3655824,33.04087667,-110.8891111,510668,3655032,,,jtress@westlandresources.com; mabuschow@gmail.com,4,,Complete,"No detections, Survey #3 prevented by flooding",,,,,,,,,
568,478,,2017,Pinal,Gila River,Middle Gila River 01,Westland Resources,Protocol,,,,1.7,14.3,4,0,,,,,,,2,12S,498107,3662719,33.10311909,-111.0202879,499769,3662936,,,jtress@westlandresources.com; mabuschow@gmail.com,2,,Complete,"Survey form looked at by Susan, even though it appears there could be 1 PO, we will trust Westland's assessment that it was 0 PO (2 detections)",,,,,,,,,
569,479,,2017,Pinal,Gila River,Middle Gila River 02,Westland Resources,Protocol,,Survey hours and total cuckoo,,2.25,14.5,4,,2,,,,,,6,12S,499769,3662936,33.1050781,-111.0024758,501681,3663166,,,jtress@westlandresources.com; mabuschow@gmail.com,3,,Complete,,,,,,,,,,
570,480,,2017,Pinal,Gila River,Middle Gila River 03,Westland Resources,Protocol,,,,2.25,18.3,4,0,,,,,,,4,12S,501681,3663166,33.10715148,-110.9819834,503510,3663155,,,jtress@westlandresources.com; mabuschow@gmail.com,4,,Complete,4 detections (No territories),,,,,,,,,
571,481,,2017,Pinal,San Pedro River,PZ Ranch,Westland Resources,Protocol,,,,0.8,6.3,4,0,,,,,,,1,12S,525145,3640270,32.90033325,-110.7311295,525384,3639621,,,jtress@westlandresources.com,3,,Complete,1 detection (no territories); everything combined into one pdf file,,,,,,,,,
572,482,,2017,Pinal,San Pedro River,Billton Copper Broken Hill,AZGFD,Protocol,Territory data,changed water body from *San Pedro (Lower) to San Pedro River,,13,33.7,4,,,,,,,,38,12S,538430,3612243,32.64713029,-110.5902385,543540,3607091,,,chofer@azgfd.gov,2,,Incomplete,"38 detections but no territory data; #YBCU's filled out incorrectly; *Although the survey form mentions ""(Lower),"" the file is still under the ""San Pedro River"" folder",,,No territory data found ,,,,,,
573,483,,2017,Pinal,San Pedro River,Stillinger Preserve,"EcoPlan Associates, Inc.",Protocol,Fixed,Eric Liknes corrected and sent survey forms on 4/22,,0.5,4.71,4,0,,,,,,,1,12S,526743,3633025,32.83494212,-110.7142523,527072,3632629,,,tashbeck@ecoplanaz.com,2,,Complete,1 detection (no territories),,,,,,,,,
574,484,,2017,Pinal,San Pedro River,Spirit Hollow Preserve and Spirit Hollow Preserve Annex,"EcoPlan Associates, Inc.",Protocol,Fixed,"Eric Liknes sent me the correct habitat site form, and corrected and sent survey form on 4/22",,1.6,18,4,,2,1,,,,,27,12S,544517,3604903,32.58069028,-110.5256865,545291,3604111,,,tashbeck@ecoplanaz.com,2,,Complete,,,,,,,,,,
575,485,,2017,Pinal,Campo Bonito Canyon,Campo Bonito Canyon,Tucson Audubon Society,Protocol,"Contact info, vegetation characteristics",,,,7,3,,,,,,,,0,12S,524915,3602960,32.5637774,-110.7345881,523370,3603122,,,,,,Incomplete,No detections,Santa Catalinas,,,,,,,,
576,486,,2017,Pinal,Peppersauce Canyon,Peppersauce Canyon,Tucson Audubon Society,Protocol,"Contact info, vegetation characteristics",,,,9.5,3,,,,,,,,0,12S,525058,3600452,32.54114969,-110.7331317,527228,3600257,,,,,,Incomplete,No detections,Santa Catalinas,,,,,,,,
577,487,,2017,Santa Cruz,Odonnell Creek,Research Ranch Headquarters,Audubon Arizona,Protocol,Habitat form (veg data in single excel database),stamdardize site name per matching UTM,,5.4,1.7,1,0,,,,,,,1,12R,548190,3495717,31.59553378,-110.4920321,546573,3494773,,,wa6qmq@yahoo.com,2,,Complete,No territories; vegetation data still uploaded to excel spreadsheet,,,,,,,,,
578,488,?,2017,Santa Cruz,Post Creek,Research Ranch Post Creek,Audubon Arizona,Protocol,,Stdz site and waterbody names per UTM,,0.72,,,0,,,,,,,0,12R,544940,3494818,31.58755453,-110.5263301,544966,3493841,,,wa6qmq@yahoo.com,2,,,No territories; vegetation data still uploaded to excel spreadsheet,,,,,,,,,
579,489,?,2017,Santa Cruz,Telles Tank,Research Ranch Telles Tank,Audubon Arizona,Protocol,,std site name per location,,0.7,,,0,,,,,,,0,12R,547053,3498506,31.62074331,-110.5038833,546566,3497559,,,wa6qmq@yahoo.com,2,,,No territories; vegetation data still uploaded to excel spreadsheet,,,,,,,,,
580,490,?,2017,Santa Cruz,Vaughn Canyon,Research Ranch Vaughn,Audubon Arizona,Protocol,,Std site name,,0.66,,,0,,,,,,,0,12R,544085,3497359,31.61051274,-110.5352278,544351,3497711,,,wa6qmq@yahoo.com,2,,,No territories; vegetation data still uploaded to excel spreadsheet,,,,,,,,,
581,491,,2017,Santa Cruz,Lyle Creek,Lyle Canyon,Audubon Arizona,Protocol,,,,1.85,5.3,4,,,1,,,,,4,12R,548414,3494811,31.58735041,-110.4897156,548503,3491044,,,wa6qmq@yahoo.com,2,,,vegetation data still uploaded to excel spreadsheet,,,,,,,,,
582,492,,2017,Santa Cruz,Harshaw Creek,Harshaw Creek,Wildlife Research Associate Louisiana State University,Incidental,,MC - coords,,NR,NR,NR,,,1,,,,,,12R,,,31.513896,-110.68386,,,,,NFyffe@agcenter.lsu.edu ,,,,"One incidental sighting of a YBCU pair with GPS points from Nathan Fyffe, Biird carryiing vegetation in its mouth",,,,,,,,,
583,493,,2017,Santa Cruz,Sonoita Creek,Sonoita Creek,Murrelet Halterman,Training,,,,0.75,1,1,,,,,,,,10,12R,,,,,,,,,,,,,"*These were not protocol nor incidental sitings, but sitings from training procedures conducted by Murrelet Halterman. Files for these sites are combined into the same documents, but copied/pasted into their own folders",,,"I'm not quite sure what this entry is, it says ""training"" ",,,,,,
584,494,?,2017,Santa Cruz,Florida Canyon,Florida Canyon,,Training,,,,NR,NR,NR,,,,,,,,10,12R,,,,,,,,,,,,,,,,"I'm not quite sure what this entry is, it says ""training"" ",,,,,,
585,495,,2017,Santa Cruz,Finley and Adams Canyon,Finley and Adams,Westland Resources,Protocol,Understory habitat entirely blank,,,2.2,19.3,4,0,,,,,,,0,12R,529684,3473281,31.39373396,-110.6877728,527400,3472640,,,jtress@westlandresources.com and mbuschow@westlandresources.com,1,,Complete,No detections,,,,,,,,,
586,496,,2017,Santa Cruz,Harshaw Creek,FS 4701 to Guajolote Flat,Westland Resources,Protocol,,,,3.5,18.2,4,0,,,,,,,0,12R,525860,3480447,31.45848101,-110.7278079,527082,3477422,,, jtress@westlandresources.com and mbuschow@westlandresources.com,1,,Complete,No detections,,,,,,,,,
587,497,,2017,Santa Cruz,Goldbaum Canyon,Goldbaum,Westland Resources,Protocol,,,,1.8,8.4,4,,1,2,,,,,14,12R,529380,3480448,31.45840593,-110.6907582,530044,3480741,,,jtress@westlandresources.com and mbuschow@westlandresources.com,1,,Complete,,,,,,,,,,
588,498,,2017,Santa Cruz,Harshaw Creek,Harshaw to FS 4701,Westland Resources,Protocol,,,,2.9,18.8,4,0,,,,,,,2,12R,527683,3481489,31.4678402,-110.7085908,525362,3480727,,,jtress@westlandresources.com,1,,Complete,2 detections,,,,,,,,,
589,499,,2017,Santa Cruz,Hermosa Canyon,Hermosa Canyon,Westland Resources,Protocol,,,,2.5,15.4,4,,2,,,,,,6,12R,528429,3482241,31.47460696,-110.7007164,528181,3479994,,,jtress@westlandresources.com and mbuschow@westlandresources.com,1,,Complete,,,,,,,,,,
590,500,,2017,Santa Cruz,Unnamed tributary to Hawshaw Creek,Hermosa Hill,Westland Resources,Protocol,,,,2.4,16.3,4,0,,,,,,,1,12R,527322,3481298,31.4661255,-110.7123961,526217,3479967,,,jtress@westlandresources.com and mbuschow@westlandresources.com,1,,Complete,1 detection (no territories),,,,,,,,,
591,501,,2017,Santa Cruz,Humboldt Canyon and Alum Gulch,Humboldt and Upper Alum,Westland Resources,Protocol,,,,3.3,13.7,4,0,,,,,,,1,12R,524816,3481327,31.46644368,-110.7387745,524880,3483502,,,jtress@westlandresources.com,1,,Complete,1 detection (no territories),,,,,,,,,
592,502,,2017,Santa Cruz,Alum Gulch,Lower Alum,Westland Resources,Protocol,,,,2.7,22.6,4,,1,,,,,,3,12R,525198,3483742,31.48822465,-110.7346919,523025,3485679,,,jtress@westlandresources.com,1,,Complete,,,,,,,,,,
593,503,,2017,Santa Cruz,Finley and Adams Canyon,Lower Finley and Adams,Westland Resources,Protocol,,,,0.6,3.9,4,0,,,,,,,1,12R,529798,3473219,31.39317164,-110.6865755,530286,3472823,,,jtress@westlandresources.com,1,,Complete,1 detection,,,,,,,,,
594,504,,2017,Santa Cruz,Sycamore Canyon,Lower Sycamore,Westland Resources,Protocol,,,,3,18.4,4,,1,1,,,,,8,12R,522595,3470416,31.36804407,-110.7624019,524731,3472480,,,jtress@westlandresources.com,1,,Complete,8 detections,,,,,,,,,
595,505,,2017,Santa Cruz,Unnamed tributary to Mowry Wash,Paymaster,Westland Resources,Protocol,,,,1.2,7.3,4,,2,,,,,,5,12R,528248,3475659,31.41522544,-110.7028094,529273,3475704,,,jtress@westlandresources.com,1,,Complete,,,,,,,,,,
596,506,,2017,Santa Cruz,Unnamed tributary to Hawshaw Creek,Unnamed Canyon East of Hermosa,Westland Resources,Protocol,,,,2.3,19.3,4,0,,,,,,,1,12R,528381,3482165,31.47392243,-110.7012239,528470,3480078,,,jtress@westlandresources.com,1,,Complete,1 detection (no territories),,,,,,,,,
597,507,,2017,Santa Cruz,Sycamore Canyon,Upper Sycamore,Westland Resources,Protocol,,,,2.1,13,4,0,,,,,,,0,12R,524740,3472480,31.38662296,-110.739795,526480,3472583,,,jtress@westlandresources.com and mbuschow@westlandresources.com,1,,Complete,"No detections, no understory habitat characteristics",,,,,,,,,
598,508,,2017,Santa Cruz,Willow Spring Canyon,Willow Springs in Flying R,USFS,Acoustic Surveys,,,,,,,,1,1,,,,,,12R,,,,,,,,,JKraft,,,,Multiple detections; post-fire acoustic survey; will need GPS points,,,I can't find this site in the folder- Fixed 10/24 by MT,,,,,,
599,509,,2017,Santa Cruz,Bellatosa Canyon,Bellatosa Canyon,Tucson Audubon Society,Protocol,Protocol territory data,,,,13.75,4,,2,,1,,,,8,12R,500412,3475381,31.41306162,-110.9956655,498091,3473327,,,jmacfarland@tucsonaudubon.org,,,Incomplete,2 occupied territories & 1 breeding territory,Atascosas,,No territory data,,,,,,
600,510,,2017,Santa Cruz,Mariposa Canyon,Mariposa Canyon,Tucson Audubon Society,Protocol,Protocol territory data,,,,11,4,,,1,,,,,9,12R,500312,3466720,31.33491604,-110.9967203,501962,3468091,,,jmacfarland@tucsonaudubon.org,,,Incomplete,3 occupied territories & 1 breeding territory,Atascosas,,No territory data- Tucson Audobon Society ,,,,,,
601,511,,2017,Santa Cruz,Pesquiera Canyon,Pesquiera Canyon,Tucson Audubon Society,Protocol,Protocol territory data,,,,14,4,,1,,,,,,8,12R,497934,3472198,31.38434071,-111.0217288,499909,3472939,,,jmacfarland@tucsonaudubon.org,,,Incomplete,4 occupied territories,Atascosas,,No territory data- Tucson Audobon Society ,,,,,,
602,512,,2017,Santa Cruz,Mansfield Canyon,Mansfield Canyon,Tucson Audubon Society,Protocol,"Protocol territory data, contact info, veg characteristics",,,,13,4,,1,,,,,,2,12R,518914,3497928,31.61633636,-110.8005833,518248,3498415,,,jmacfarland@tucsonaudubon.org,,,Incomplete,"2 detections (site says no territories ""in site itself,"" but in Temporal Gulch nearby, in 2017)",Santa Ritas,,No territory data- Tucson Audobon Society ,,,,,,
603,513,,2017,Santa Cruz,Smith Canyon,Smith Canyon,Tucson Audubon Society,Protocol,"Protocol territory data, contact info, veg characteristics",,,,12,3,,,,,,,,3,12R,523941,3494719,31.58729008,-110.7476604,523092,3496856,,,jmacfarland@tucsonaudubon.org,,,Incomplete,3 detections (site says had territories but not what kind,Santa Ritas,,No territory data- Tucson Audobon Society ,,,,,,
604,514,,2017,Santa Cruz,Sardinia Canyon,Sopori 1,Tucson Audubon Society,Protocol,"Protocol territory data, contact info, veg characteristics",,,,8,4,,,,,,,,4,12R,484795,3495998,31.59897832,-111.1602818,484253,3497064,,,jmacfarland@tucsonaudubon.org,,,Incomplete,2 occupied territories,,,No territory data- Tucson Audobon Society ,,,,,,
605,515,,2017,Santa Cruz,Sardinia Canyon,Sopori 2,Tucson Audubon Society,Protocol,"Protocol territory data, contact info, veg characteristics",,,,7,3,,,1,,,,,5,12R,485442,3498926,31.62540409,-111.1535049,484180,3498503,,,jmacfarland@tucsonaudubon.org,,,Incomplete,2 occupied territories & 1 breeding territory,,,Territory data is unclear,,,,,,
606,516,,2017,Yavapai,Agua Fria River,Cross Y,Bureau of Land Management,Protocol,,Correct site form cell sizes to get rid of error values for numbers; corrected feet to meters,,2.1,6.5,2,0,,,,,,,0,12S,398573,3775578,34.1161267,-112.0997885,398430,3776855,,,psitzman@blm.gov,3,,Complete,No detections,,,,,,,,,
607,517,,2017,Yavapai,Agua Fria River,Upper Agua Fria River,Bureau of Land Management,Protocol,Elevation inconsistent,"Corrected feet to meters for elevation, mc corrected site name to standardize",,2.1,9.25,3,,,,,,,,5,12S,401365,3798715,34.32502073,-112.0721592,402476,3797395,,,psitzman@blm.gov,1,,Incomplete,Inconsistence with elevation from site and survey form,,,Territory data is unclear,,,,,,
608,518,mc,2017,Yavapai,Agua Fria River,Cross Y ,Audubon Arizona,Protocol,"Habitat data?  Not worth asking for additional data.  From data form: patchy habitat with diverse understory.  From report: permanent water and significant stands of mesquite, lacks the riparian structure preferred by cuckoos.  In addition, the available ",,,2.1,6.5,2,0,,,,,,,0,,,,,,,,,,,,,,"Habitat data not on Excel spreadsheet for 2018 excel files from Audubon Arizona, likely need to email them for missing info or clarification",,,I can't find this site on the Audobon Arizona Master sheet,,,,,,
609,519,,2017,Yavapai,Agua Fria River,Horseshoe Bar,Audubon Arizona,Protocol,,,,3.6,7.36,2,,,1,,,,,4,12S,393522,3767257,34.04059388,-112.15353,392928,3768672,,,sprager@audubon.org,,,Incomplete,,,,,,,,,,
610,520,,2017,Yavapai,Upper Verde River,Campbell North,Audubon Arizona,Protocol,,correct affiliation from Prescott to Audubon SW,,1.25,13.3,4,,1,,,,,,7,12S,371918,3859312,34.86810416,-112.4013191,370435,3859414,,,LHRHODEN@gmail.com,1,,Complete,,,,,,,,,,
611,521,,2017,Yavapai,Upper Verde River,Campbell South,Audubon Arizona,Protocol,,correct affiliation from Prescott to Audubon SW,,1.5,6.45,2,,2,,,,,,12,12S,371918,3859314,34.86812219,-112.4013194,372268,3860353,,,celex47-glider@usa.net,1,,Complete,,,,,,,,,,
612,522,,2017,Yavapai,Granite Creek,Lower Granite Creek,Audubon Arizona,Protocol,"""This typographic error needs to be corrected."" <-- from Habitat form in response to ""Yes or No"" Question",correct affiliation from Prescott to Audubon SW,,2.65,10.8,4,,1,2,,,,,16,12S,369107,3858707,34.86229192,-112.4319707,369621,3857406,,,davidmoll@cableone.net,1,,Complete,,,,,,,,,,
613,523,,2017,Yavapai,Upper Verde River,Verde Springs,Audubon Arizona,Protocol,,correct affiliation from Prescott to Audubon SW,,1.6,5.7,2,0,,,,,,,4,12S,369107,3858714,34.86235502,-112.4319718,370462,3859421,,,celex47-kestrel@usa.net,,,,No territories,,,,,,,,,
614,524,,2017,Yavapai,Agua Fria River,Silver Creek,Audubon Arizona,Protocol,,correct affiliation from Maricopa to Audubon SW,,1.7,2.1,1,0,,,,,,,1,12S,403875,3790817,34.25404034,-112.0439984,405448,3790813,,,mcbobaz@aoc.com ,,,,"*Says ""Sonoran Audubon"" for affiliation on Habitat Form",,,,,,,,,
615,525,,2017,Yavapai,Agua Fria River,Upper Agua Fria,Audubon Arizona,Protocol + Incidental Form,Habitat form pdf/file,,,2.8,9.4,4,,1,,,,,,7,12S,401366,3798722,34.32508394,-112.0721491,402131,3797570,,,sprager@audubon.org,,,,vegetation data still uploaded to excel spreadsheet,,,,,,,,,
616,526,,2017,Yavapai,Agua Fria River,Indian Creek,Audubon Arizona,Protocol,,,,5.5,3.88,3,0,,,,,,,0,12S,404905,3794441,34.28681289,-112.033213,408433,3795566,,,cwse@audubon.org,1,,,,,,,,,,,,
617,527,,2017,Yavapai,Agua Fria River,Horseshoe Ford South,Audubon Arizona,Protocol,,correct affiliation from Maricopa to Audubon SW,,2.3,25.21,9,,2,2,,,,,25,12S,401845,3791147,34.25682621,-112.0660801,401725,3789247,,,tjflood@att.net,1,,,"*On site form, says ""Friends of Agua Fria National Monument for Affiliation",,,Unsure if number of detections is correct. ,,,,,,
618,528,,2017,Yavapai,Agua Fria River,Horseshoe Ford North,Audubon Arizona,Protocol,Empty fields in habitat form,,,2,6.21,2,0,,,,,,,0,12S,402272,3793045,34.27398067,-112.0616581,403096,3794336,,,dhite@audubon.org,,,Incomplete,,,,,,,,,,
619,529,,2017,Yavapai,Big Sandy River,Francis Creek,AZGFD,Protocol,,,,2.2,8.25,4,0,,,,,,,0,12S,294454,3846775,34.74242082,-113.245301,293269,3848429,,,rmixan@azgfd.gov,1,,Complete,No detections,,,,,,,,,
620,530,,2017,Yavapai,Big Sandy River,Burro Creek,AZGFD,Protocol,,,,3,9.5,4,0,,,,,,,0,12S,294150,3844407,34.72102181,-113.2480414,293109,3842193,,,rmixan@azgfd.gov,1,,Complete,No detections,,,,,,,,,
621,531,mc,2017,Yavapai,Arnold Canyon Creek,Arnold Place Springs,Prescott NF,Protocol,,,,nr,5,4,0,,,,,,,0,12S,415658,3812860,34.45383039,-111.9182055,415169,3812899,,,tonnieleasy@fs.fed.us,,,,"No detections; elevation is in feet, denoted by '",,,,,,,,,
622,532,,2017,Yavapai,Verde River,Bignotti Black Canyon,Prescott NF,Protocol,Territory Data,,,nr,9.73,4,,,,,,,,13,12S,412610,3837937,34.67969184,-111.953963,411546,3839243,,,tonnieleasy@fs.fed.us,,,,"13 Detections (not listed), missing territory info, elevation in feet",,,The territory data is missing ,,,,,,
623,533,,2017,Yavapai,Verde River,Duff Springs,Prescott NF,Protocol,,,,nr,13,4,0,,,,,,,0,12S,382074,3860215,34.87747469,-112.2903577,380917,3859864,,,tonnieleasy@fs.fed.us,,,,"No detections, elevation in feet (likely)",,,,,,,,,
624,534,,2017,Yavapai,Little Ash Creek,Little Ash Creek,Prescott NF,Protocol,Territory Data,,,nr,9.37,4,0,,,,,,,2,12S,406563,3805358,34.38540208,-112.016388,405640,3805207,,,tonnieleasy@fs.fed.us,,,,2 detections; missing territory info but likely no NO/NR due to the 2 detections being for one survey only; elevation in feet,,,,,,,,,
625,535,,2017,Yavapai,Verde River,Perkinsville,Prescott NF,Protocol,Territory Data,,,nr,10.87,4,,,,,,,,7,12S,406563,3805358,34.38540208,-112.016388,405640,3805207,,,tonnieleasy@fs.fed.us,,,,7 detections; elevation in feet,,,Territories and cuckoo numbers/detections not lsted,,,,,,
